x	y	epresenceScore	epresence	eorientScore	eorient	ecorr
GU.185_<<_GU.178	GU.185	GU.178	0.523385005437123	1	NA	1	NA
GU.95_<<_GU.328	GU.95	GU.328	0.298769371768588	1	NA	1	NA
GU.95_<<_GU.249	GU.95	GU.249	0.298769371768588	1	NA	1	NA
GU.328_<<_GU.249	GU.328	GU.249	0.298769371768588	1	NA	1	NA
GU.178_<<_GU.3349	GU.178	GU.3349	0.212315471984135	1	NA	1	NA
GU.973_<<_GU.95	GU.973	GU.95	0.20238767157321	1	NA	1	NA
GU.973_<<_GU.328	GU.973	GU.328	0.20238767157321	1	NA	1	NA
GU.973_<<_GU.249	GU.973	GU.249	0.20238767157321	1	NA	1	NA
GU.860_<<_GU.973	GU.860	GU.973	0.200569667938323	1	NA	1	NA
GU.185_<<_GU.2750	GU.185	GU.2750	0.127679455665865	1	NA	1	NA
GU.3349_<<_GU.860	GU.3349	GU.860	0.109591046774762	1	NA	1	NA
GU.185_<<_GU.95	GU.185	GU.95	0.0880751401078324	1	NA	1	NA
GU.185_<<_GU.328	GU.185	GU.328	0.0880751401078324	1	NA	1	NA
GU.185_<<_GU.249	GU.185	GU.249	0.0880751401078324	1	NA	1	NA
GU.185_<<_GU.3349	GU.185	GU.3349	0	0	NA	0	NA
GU.185_<<_GU.860	GU.185	GU.860	0	0	NA	0	NA
GU.185_<<_GU.973	GU.185	GU.973	0	0	NA	0	NA
GU.178_<<_GU.860	GU.178	GU.860	0	0	NA	0	NA
GU.178_<<_GU.2750	GU.178	GU.2750	0	0	NA	0	NA
GU.178_<<_GU.973	GU.178	GU.973	0	0	NA	0	NA
GU.178_<<_GU.95	GU.178	GU.95	0	0	NA	0	NA
GU.178_<<_GU.328	GU.178	GU.328	0	0	NA	0	NA
GU.178_<<_GU.249	GU.178	GU.249	0	0	NA	0	NA
GU.3349_<<_GU.2750	GU.3349	GU.2750	0	0	NA	0	NA
GU.3349_<<_GU.973	GU.3349	GU.973	0	0	NA	0	NA
GU.3349_<<_GU.95	GU.3349	GU.95	0	0	NA	0	NA
GU.3349_<<_GU.328	GU.3349	GU.328	0	0	NA	0	NA
GU.3349_<<_GU.249	GU.3349	GU.249	0	0	NA	0	NA
GU.860_<<_GU.2750	GU.860	GU.2750	0	0	NA	0	NA
GU.860_<<_GU.95	GU.860	GU.95	0	0	NA	0	NA
GU.860_<<_GU.328	GU.860	GU.328	0	0	NA	0	NA
GU.860_<<_GU.249	GU.860	GU.249	0	0	NA	0	NA
GU.2750_<<_GU.973	GU.2750	GU.973	0	0	NA	0	NA
GU.2750_<<_GU.95	GU.2750	GU.95	0	0	NA	0	NA
GU.2750_<<_GU.328	GU.2750	GU.328	0	0	NA	0	NA
GU.2750_<<_GU.249	GU.2750	GU.249	0	0	NA	0	NA
